company_name,current_status,b_corp_profile,website,assessment_year,overall_score
Maria Farinha Filmes,certified,bcorporation.net/directory/maria-farinha-filmes,www.mff.com.br,2013,99.1
Snaplinc Consulting LLC,certified,bcorporation.net/directory/snaplinc-consulting-llc,snaplincconsulting.com,2019,81.9
"Jason Wiener, P.C.",certified,bcorporation.net/directory/jason-wiener-pc,www.jrwiener.com,2017,87.2
"Jason Wiener, P.C.",certified,bcorporation.net/directory/jason-wiener-pc,www.jrwiener.com,2015,89.3
Cascade Engineering,certified,bcorporation.net/directory/cascade-engineering,cascadeng.com,2016,140.7
Cascade Engineering,certified,bcorporation.net/directory/cascade-engineering,cascadeng.com,2015,89.1
Cascade Engineering,certified,bcorporation.net/directory/cascade-engineering,cascadeng.com,2012,88
Constructora L y D,certified,bcorporation.net/directory/constructora-l-y-d,www.ldconstructora.cl,2017,91
Constructora L y D,certified,bcorporation.net/directory/constructora-l-y-d,www.ldconstructora.cl,2014,81.5
Cotopaxi,certified,bcorporation.net/directory/cotopaxi,www.cotopaxi.com,2018,93.6
Cotopaxi,certified,bcorporation.net/directory/cotopaxi,www.cotopaxi.com,2015,91.5
AMATA,certified,bcorporation.net/directory/amata,www.amatabrasil.com.br,2016,90.5
Quiip,certified,bcorporation.net/directory/quiip,www.quiip.com.au,2017,82.3
Ecotone Analytics GBC,certified,bcorporation.net/directory/ecotone-analytics-gbc,www.ecotone-partners.com,2017,84.5
eCycle,certified,bcorporation.net/directory/ecycle,www.ecycle.com.br,2016,83.9
Chilote Shoes,certified,bcorporation.net/directory/chiloteshoes,www.chiloteshoes.com,2016,84.2
Ovis 21,certified,bcorporation.net/directory/ovis-21,www.ovis21.com,2016,87.5
Ovis 21,certified,bcorporation.net/directory/ovis-21,www.ovis21.com,2012,86.2
Donadora,certified,bcorporation.net/directory/donadora,www.donadora.org,2016,85.7
KAWSAY,certified,bcorporation.net/directory/kawsay,www.kawsay.cl,2016,81.8
Liatin SA (Impulso Creativo),certified,bcorporation.net/directory/liatin-sa-impulso-creativo,www.masbus.uy,2015,81.3
Alfa Accountants en Adviseurs,certified,bcorporation.net/directory/alfa-accountants-en-adviseurs,www.alfa.nl,2016,101.9
Alfa Accountants en Adviseurs,certified,bcorporation.net/directory/alfa-accountants-en-adviseurs,www.alfa.nl,2014,98.1
