"Feynman Group, Inc.",certified,IT Software & Services/Web Design,bcorporation.net/directory/feynman-group-inc,www.feynmangroup.com,2017,81.0,29.4,9.7,11.9,29.0
Simply Good Jars,certified,Food & Beverage,bcorporation.net/directory/simply-good-jars,www.simplygoodjars.com,2019,90.4,33.5,28.6,13.7,13.4
Montcalm TCR LLC,certified,Investment Advisor,bcorporation.net/directory/montcalm-tcr-llc,www.montcalmtcr.com,2018,120.8,22.9,9.0,11.1,29.3
Montcalm TCR LLC,certified,Investment Advisor,bcorporation.net/directory/montcalm-tcr-llc,www.montcalmtcr.com,2015,111.0,23.1,5.3,6.8,32.2
Impact and Growth Advisors,certified,Nonprofit Consulting & Fundraising,bcorporation.net/directory/impact-and-growth-advisors,www.impactandgrowth.com,2017,85.7,19.3,3.7,7.7,26.4
Code For Australia,certified,IT Software & Services/Web Design,bcorporation.net/directory/code-for-australia,codeforaustralia.org,2019,86.4,22.9,12.3,11.5,21.4
Kent Employment Law,certified,Legal,bcorporation.net/directory/kent-employment-law,www.kentemploymentlaw.com,2017,101.6,24.2,12.3,13.6,36.9
Kent Employment Law,certified,Legal,bcorporation.net/directory/kent-employment-law,www.kentemploymentlaw.com,2015,83.4,23.5,12.1,12.0,19.8
Oliberte Limited,certified,"Apparel, Footwear & Accessories",bcorporation.net/directory/oliberte-limited,oliberte.com,2019,80.6,19.9,19.1,14.7,23.2
Oliberte Limited,certified,"Apparel, Footwear & Accessories",bcorporation.net/directory/oliberte-limited,oliberte.com,2016,112.8,63.0,17.0,15.5,17.3
Oliberte Limited,certified,"Apparel, Footwear & Accessories",bcorporation.net/directory/oliberte-limited,oliberte.com,2014,127.5,77.3,15.3,15.4,19.5
Oliberte Limited,certified,"Apparel, Footwear & Accessories",bcorporation.net/directory/oliberte-limited,oliberte.com,2012,108.1,61.0,14.3,7.0,25.7
T-Global Technology,certified,Electronics,bcorporation.net/directory/t-global-technology,www.tglobal.com.tw,2019,80.1,22.2,17.3,6.2,30.5
T-Global Technology,certified,Electronics,bcorporation.net/directory/t-global-technology,www.tglobal.com.tw,2016,80.2,26.3,22.1,6.4,25.4
OrgBetter,certified,Education & Training Services,bcorporation.net/directory/orgbetter,www.orgbetter.com,2018,117.3,57.2,8.9,12.0,21.3
OrgBetter,certified,Education & Training Services,bcorporation.net/directory/orgbetter,www.orgbetter.com,2016,81.4,26.7,7.7,11.7,19.5
"WEN TANG TEA CO., LTD",certified,Growers,bcorporation.net/directory/wen-tang-tea-co-ltd,www.teatalk1950.com,2017,80.5,23.0,24.5,7.1,25.9
XPLANE,certified,Management and Financial Consulting,bcorporation.net/directory/xplane,www.xplane.com,2016,82.6,21.8,13.6,13.0,32.7
MaCher USA,certified,Other,bcorporation.net/directory/macher-usa,www.macher.com,2016,96.4,25.2,22.7,17.7,30.8
MaCher USA,certified,Other,bcorporation.net/directory/macher-usa,www.macher.com,2014,84.3,22.7,19.3,16.0,26.2
SJF Ventures,certified,Equity Investor - Developed Markets,bcorporation.net/directory/sjf-ventures,sjfventures.com,2016,88.2,17.5,7.2,10.7,31.5
SJF Ventures,certified,Equity Investor - Developed Markets,bcorporation.net/directory/sjf-ventures,sjfventures.com,2014,106.4,19.2,10.6,11.1,37.7
hösėg,certified,"Apparel, Footwear & Accessories",bcorporation.net/directory/hös_g,www.socialheater.com,2016,85.0,74.8,2.8,7.4,
Inka Moss S.A.C.,certified,Growers,bcorporation.net/directory/inka-moss-sac,www.inkamoss.com,2017,86.4,41.6,12.0,8.2,24.6
Animana,certified,"Housewares, Home Furnishings, & Accessories",bcorporation.net/directory/animana,www.animanaonline.com.ar,2016,97.4,46.9,15.1,9.3,19.4
Animana,certified,"Housewares, Home Furnishings, & Accessories",bcorporation.net/directory/animana,www.animanaonline.com.ar,2013,88.4,40.4,29.2,2.6,16.2
TriLinc Global,certified,Credit Provider,bcorporation.net/directory/trilinc-global,www.trilincglobal.com,2017,101.6,23.1,6.2,16.3,23.5
TriLinc Global,certified,Credit Provider,bcorporation.net/directory/trilinc-global,www.trilincglobal.com,2015,110.0,24.1,9.6,17.9,25.8
TriLinc Global,certified,Credit Provider,bcorporation.net/directory/trilinc-global,www.trilincglobal.com,2013,99.4,22.6,7.7,14.8,30.1
Raízes Desenvolvimento Sustentável,certified,Sustainability Consulting,bcorporation.net/directory/ra’zes-desenvolvimento-sustent‡vel,www.raizesds.com.br,2016,100.3,15.6,7.9,15.5,30.8
Raízes Desenvolvimento Sustentável,certified,Sustainability Consulting,bcorporation.net/directory/ra’zes-desenvolvimento-sustent‡vel,www.raizesds.com.br,2014,103.7,26.5,8.3,12.0,30.5
Cervecera Guayacan SpA,certified,Food & Beverage,bcorporation.net/directory/cervecera-guayacan-spa,www.guayacan.cl,2017,89.9,29.2,26.8,13.6,20.3
Sol Organica,certified,Agricultural Services,bcorporation.net/directory/sol-organica,solsimple.com,2016,101.9,56.3,22.4,8.2,15.0
CIANO Alimentos Sustentáveis,certified,Food & Beverage,bcorporation.net/directory/ciano-alimentos-sustentáveis-ltda,www.jucai.com.br,2016,97.0,39.7,29.0,6.3,22.0
Reciclarg S.A.,certified,Home & Personal Care,bcorporation.net/directory/reciclarg-sa,www.reciclarg.com,2016,84.8,26.0,28.6,10.5,19.7
Reciclarg S.A.,certified,Home & Personal Care,bcorporation.net/directory/reciclarg-sa,www.reciclarg.com,2013,82.5,25.3,51.3,5.9,0.0
CRIDEM,certified,"Apparel, Footwear & Accessories",bcorporation.net/directory/cridem,www.rupestre.cl,2017,102.5,73.5,10.0,11.8,
CRIDEM,certified,"Apparel, Footwear & Accessories",bcorporation.net/directory/cridem,www.rupestre.cl,2013,82.0,50.0,18.5,5.2,0.0
REMBRE,certified,Home & Personal Care,bcorporation.net/directory/rembre,www.rembre.cl,2016,101.6,25.5,32.2,18.9,25.0
REMBRE,certified,Home & Personal Care,bcorporation.net/directory/rembre,www.rembre.cl,2014,88.3,26.3,32.4,8.6,21.0
Avante,certified,Other,bcorporation.net/directory/avante,avante.com.vc,2016,136.1,44.8,4.4,20.4,20.1
Avante,certified,Other,bcorporation.net/directory/avante,avante.com.vc,2014,132.2,34.8,4.0,10.0,24.3
New Seasons Market,certified,Food & Beverage,bcorporation.net/directory/new-seasons-market,www.newseasonsmarket.com,2017,102.2,43.8,21.3,12.6,24.5
New Seasons Market,certified,Food & Beverage,bcorporation.net/directory/new-seasons-market,www.newseasonsmarket.com,2015,108.7,47.7,21.8,11.3,25.1
New Seasons Market,certified,Food & Beverage,bcorporation.net/directory/new-seasons-market,www.newseasonsmarket.com,2012,120.5,41.9,36.4,15.0,23.8
Bolsas Reutilizables,certified,"Housewares, Home Furnishings, & Accessories",bcorporation.net/directory/bolsas-reutilizables,www.bolsasreutilizables.com,2015,81.3,25.7,25.0,13.5,17.1
Bolsas Reutilizables,certified,"Housewares, Home Furnishings, & Accessories",bcorporation.net/directory/bolsas-reutilizables,www.bolsasreutilizables.com,2014,80.2,27.3,26.2,3.7,23.0
innocent Drinks,certified,Food & Beverage,bcorporation.net/directory/innocent-drinks,innocentdrinks.com,2018,92.5,35.1,19.9,14.6,22.7
Matteria,certified,Management and Financial Consulting,bcorporation.net/directory/matteria,www.matteria.co,2017,81.1,22.1,5.2,8.8,28.2
